Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni,"Gasage (EDC3, yr BP).2",sigma mean CO2 (ppmv).3,source file
3186.75,792943.00,793517.00,204.00,,Dome C (611-800 kyr BP),University of Bern,,1.60,grl52461-sup-0003-supplementary.csv
3186.98,793260.00,793846.67,209.00,,Dome C (611-800 kyr BP),University of Bern,,1.90,grl52461-sup-0003-supplementary.csv
3187.87,794608.00,795130.18,199.40,,Dome C (611-800 kyr BP),University of Bern,,1.70,grl52461-sup-0003-supplementary.csv
3188.23,795202.00,795686.55,195.20,,Dome C (611-800 kyr BP),University of Bern,,2.00,grl52461-sup-0003-supplementary.csv
3188.98,796467.00,796845.64,189.30,,Dome C (611-800 kyr BP),University of Bern,,2.10,grl52461-sup-0003-supplementary.csv
3189.33,797099.00,797386.55,188.40,,Dome C (611-800 kyr BP),University of Bern,,1.40,grl52461-sup-0003-supplementary.csv
3190.08,798512.00,798680.42,191.00,,Dome C (611-800 kyr BP),University of Bern,,2.20,grl52461-sup-0003-supplementary.csv
3061.71,667435.00,667256.80,178.50,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3063.98,670124.00,670241.01,189.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3085.78,688035.00,690566.62,234.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3086.88,688751.00,691327.29,235.40,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3087.98,689444.00,692134.74,241.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3089.08,690155.00,692933.48,235.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3091.28,691524.00,694379.24,235.90,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3093.48,692857.00,695834.35,236.30,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3120.01,715603.00,715453.95,223.80,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3122.20,718581.00,717795.21,190.20,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3124.41,721870.00,720473.02,217.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3128.68,727458.00,725220.95,203.70,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3133.08,732300.00,730002.15,210.70,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3135.28,734408.00,732084.00,209.60,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3141.82,739986.00,738789.73,198.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3146.37,744681.00,744336.95,185.20,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3150.68,749152.00,749532.99,188.80,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3152.88,751552.00,752258.82,193.80,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3155.08,754124.00,755273.28,197.30,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3156.18,755354.00,756692.62,203.40,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3157.28,756605.00,758063.16,214.40,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3158.38,757805.00,759395.08,225.50,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3159.48,759027.00,760660.42,216.60,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3160.58,760338.00,762001.71,214.90,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3161.68,761745.00,763421.84,213.00,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3162.78,763158.00,765000.51,221.30,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3163.88,764529.00,766487.12,226.50,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3164.98,765917.00,767931.57,216.10,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3167.18,768940.00,770903.33,227.50,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3168.28,770434.00,772461.85,233.90,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3169.38,771888.00,773859.85,226.90,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3170.48,773353.00,775240.75,238.60,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3171.58,774854.00,776606.41,240.10,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3172.68,776322.00,777943.75,245.90,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3173.78,777719.00,779204.62,246.70,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3174.88,779076.00,780449.27,243.80,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3177.08,781771.00,782940.48,251.20,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3178.18,783110.00,784128.84,252.50,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3179.28,784409.00,785267.51,248.40,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3180.38,785654.00,786429.32,255.30,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3181.48,786819.00,787568.78,256.60,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3182.58,787957.00,788620.78,246.40,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3183.68,789126.00,789716.55,239.30,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3185.88,791767.00,792311.24,217.30,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3186.98,793255.00,793846.67,224.20,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3188.08,794949.00,795454.73,206.70,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
3190.28,798893.00,799032.30,193.60,,Dome C (611-800 kyr BP),LGGE Grenoble,,,grl52461-sup-0003-supplementary.csv
